Sample rep,Site,Aggregate,ID
1,C,A,CA1
2,C,A,CA2
3,C,A,CA3
4,C,A,CA4
5,C,A,CA5
6,C,A,CA6
7,C,A,CA7
8,C,A,CA8
9,C,A,CA9
1,C,B,CB1
2,C,B,CB2
3,C,B,CB3
4,C,B,CB4
5,C,B,CB5
6,C,B,CB6
7,C,B,CB7
8,C,B,CB8
9,C,B,CB9
1,C,Bulk,C1
2,C,Bulk,C2
3,C,Bulk,C3
4,C,Bulk,C4
5,C,Bulk,C5
6,C,Bulk,C6
7,C,Bulk,C7
8,C,Bulk,C8
9,C,Bulk,C9
1,C,C,CC1
2,C,C,CC2
3,C,C,CC3
4,C,C,CC4
5,C,C,CC5
6,C,C,CC6
7,C,C,CC7
8,C,C,CC8
9,C,C,CC9
1,C,D,CD1
2,C,D,CD2
3,C,D,CD3
4,C,D,CD4
5,C,D,CD5
6,C,D,CD6
7,C,D,CD7
8,C,D,CD8
9,C,D,CD9
1,O,A,OA1
2,O,A,OA2
3,O,A,OA3
4,O,A,OA4
5,O,A,OA5
6,O,A,OA6
7,O,A,OA7
8,O,A,OA8
9,O,A,OA9
1,O,B,OB1
2,O,B,OB2
3,O,B,OB3
4,O,B,OB4
5,O,B,OB5
6,O,B,OB6
7,O,B,OB7
8,O,B,OB8
9,O,B,OB9
1,O,Bulk,O1
2,O,Bulk,O2
3,O,Bulk,O3
4,O,Bulk,O4
5,O,Bulk,O5
6,O,Bulk,O6
7,O,Bulk,O7
8,O,Bulk,O8
9,O,Bulk,O9
1,O,C,OC1
2,O,C,OC2
3,O,C,OC3
4,O,C,OC4
5,O,C,OC5
6,O,C,OC6
7,O,C,OC7
8,O,C,OC8
9,O,C,OC9
1,O,D,OD1
2,O,D,OD2
3,O,D,OD3
4,O,D,OD4
5,O,D,OD5
6,O,D,OD6
7,O,D,OD7
8,O,D,OD8
9,O,D,OD9
