Sample ID,Site,Aggregate,ID,Addition,Replicate,Notes,Incubation,Extraction number,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN,MBC,MBN,BG,CBH,LAP,NAG,PHOS,FDA,POXC,CUE,CUEFilt,WHC,MWD,proportion_mass,Bulk_density,infiltration,Dry,fPOM_TC,fPOM_13C%,fPOM_TN,fPOM_15N%,oPOM_TC,oPOM_13C%,oPOM_TN,oPOM_15N%,MAOM_TC,MAOM_13C%,MAOM_TN,MAOM_15N%,fPOM_C Comment (13C analysis) ,fPOM (g),oPOM(g),MAOM,proportion fPOM by mass,proportion oPOM by mass,proportion MAOM by mass,TC,TN,C%,N%,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,Proportion <53,Proportion >53,Proportion >250,Proportion >2000
1,C,A,CA1,16O,1,,Done,6,-5.74,390.16,0.11,115.52,10.9,169.79,18.81,54.27,7.91,338.5350036,32.83129263,14.03992025,28.57621173,24.19639171,27.6206545,308.0775,0.082507435,,0.673,,0.158949854,,,,,,11.89547556,0.369211944,7.551361386,1.087029496,0.840552805,0.367894493,9.962228398,1.085116464,1.355987873,0.368423667,Contained too much carbon. Detectors saturated. No values can be estimated.,0.25,0.79,4.02,0.049407115,0.156126482,0.794466403,9.503107149,1.825724389,1.082957,0.3686601,,,,,,,
2,C,A,CA2,16O,1,,Done,5,-3.61,493.49,0.02,40.98,5.22,118.59,17.38,77.61,12.16,,,,,,23.4038148,225.1649,0.111606045,,0.654,,0.104418335,,,,81.32429366,1.058150233,6.52025417,0.36899298,6.49404917,1.087062478,0.721831292,0.367868946,8.904617667,1.085171437,1.2176753,0.368493007,"Mass 44 & 45 saturated, totals underestimated ",0.12,0.86,4.03,0.023952096,0.171656687,0.804391218,10.63399021,1.28812794,1.076794716,0.368451644,,,,,,,
3,C,A,CA3,16O,1,,Done,7,-5.35,185.46,,51.73,5.84,152.35,23.59,100.62,17.75,404.5415496,27.23108362,5.379077875,32.34119351,138.747026,20.7944641,205.9525,0.095078352,1,0.666,,0.232483256,,,,52.17889487,1.085105469,4.059325371,0.367774059,7.5132776,1.087095461,0.84275879,0.367832451,9.719764173,1.08508348,1.324393205,0.368496656,,0.2,0.77,4.06,0.039761431,0.153081511,0.807157058,11.47463997,1.383820998,1.08576147,0.368034389,,,,,,,
4,C,A,CA4,16O,1,,Done,6,151.51,288.57,0.35,82.72,4.93,130.94,15.01,48.22,10.08,,,,,,18.2839493,268.6865,0.018200566,,0.638,,0.155082145,,,,31.25323134,1.089107361,3.428383012,0.368518553,7.908920188,1.086908559,0.858528951,0.367803255,8.219242393,1.085017512,1.260819812,0.36833973,,0.14,0.82,4.04,0.028,0.164,0.808,9.203361142,1.26559578,1.087011144,0.368220513,,,,,,,
5,C,A,CA5,16O,1,,Done,5,10.62,263.46,0.2,71.57,3.87,104.75,23.87,33.18,20,,,,,,18.430696,200.0207,0.030074424,,0.661,,0.140272768,,,,19.54839035,1.089305248,2.027348875,0.368522203,6.682493851,1.085237405,0.771361352,0.369058669,8.176257789,1.085182432,1.117372757,0.368427317,,0.12,0.78,4.09,0.024048096,0.156312625,0.819639279,8.611117462,1.100045699,1.086575028,0.368669396,,,,,,,
6,C,A,CA6,16O,1,,Done,8,25.63,231.59,0.17,53.12,2.45,98.47,12.51,45.35,10.06,,,,,,27.8419473,219.5021,0.033035633,,0.634,,0.202016034,,,,28.79396752,1.089096367,3.111020882,0.3685368,7.267470912,1.08549028,0.833838961,0.369044071,12.71945117,1.084984528,1.927056551,0.368690077,,0.11,0.89,4,0.022,0.178,0.8,12.50912994,1.785002935,1.086523725,0.368756983,,,,,,,
7,C,A,CA7,16O,1,,Done,6,14.03,135.35,0.77,82.51,3.28,155.79,12.26,73.28,8.98,329.369455,43.09107157,10.38520256,35.11726162,31.74596791,22.2770673,229.3246,0.028371683,,0.624,,0.209218814,,,,37.74149064,1.09070143,3.37671008,0.368420018,9.091584752,1.085336356,1.021337809,0.369131657,8.123654996,1.085270389,1.119385141,0.368792261,,0.16,0.85,3.99,0.032,0.17,0.798,9.627527095,1.186504793,1.087102725,0.368781312,,,,,,,
8,C,A,CA8,16O,1,,Done,6,18.52,482.74,-0.62,61.67,5.14,98.5,15.66,36.83,10.52,,,,,,20.4630359,338.1483,0.01508664,,0.641,,0.164626357,,,,22.6913594,1.089338229,2.363949356,0.368547749,7.069252377,1.086831599,0.785004322,0.367500345,11.09171046,1.084973533,1.534158332,0.3688616,,0.1,1.01,3.89,0.02,0.202,0.778,10.89697761,1.405235742,1.087047787,0.368303231,,,,,,,
9,C,A,CA9,16O,1,,Done,7,112.21,315.03,-0.93,64.65,1.29,125.2,12.92,60.55,11.63,221.7116667,23.02122343,17.91017935,26.3196816,61.43752488,16.7061825,218.8329,0.026456093,,0.662,,0.12144866,,,,32.1374868,1.088656614,3.526293559,0.368489357,5.351867572,1.086886571,0.595415959,0.367894493,12.09963527,1.085160442,1.718720825,0.368814158,,0.2,1.28,3.56,0.03968254,0.253968254,0.706349206,11.57130753,1.515404327,1.086901209,0.368399336,,,,,,,
1,C,B,CB1,16O,1,,Done,5,2.32,505.5,0.51,32.51,4.73,123.47,12.62,90.96,7.89,267.588549,26.29346645,13.82042238,32.48535408,94.47485699,14.7379317,287.7116,0.132812557,,0.804,,0.230845279,,,,,,6.340754662,0.367427355,9.303119682,1.085864094,1.114123653,0.36873752,8.541751933,1.085215415,1.177173324,0.36898933,Contained too much carbon. Detectors saturated. No values can be estimated.,0.29,0.64,4.12,0.057425743,0.126732673,0.815841584,8.555789352,1.493769066,0.72369317,0.368384735,,,,,,,
2,C,B,CB2,16O,1,,Done,5,-5.4,571.54,0.43,40.95,2.67,107.14,10.15,66.19,7.48,,,,,,26.2690766,203.6221,0.074694396,,0.619,,0.260963098,,,,54.40898727,1.094472026,3.804579137,0.367171887,8.873376311,1.085644204,1.027133648,0.368766715,8.249552656,1.085050496,1.146161568,0.369025824,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.23,0.72,4.11,0.045454545,0.14229249,0.812252964,10.85082467,1.284412449,1.088388909,0.368321475,,,,,,,
3,C,B,CB3,16O,1,,Done,5,103.9,455.72,,80.53,6.36,167.64,13.4,87.11,7.04,384.282977,29.82753452,15.6412949,36.79947813,147.162371,22.7827088,242.9719,0.057123752,1,0.477,,0.188029807,,,,54.42176591,1.086809611,4.172347707,0.367358014,6.476655992,1.087722127,0.667453228,0.36746385,7.235861801,1.085105469,1.080740016,0.368832405,,0.2,0.65,4.21,0.039525692,0.128458498,0.83201581,9.416517276,1.182974149,1.086545736,0.367884756,,,,,,,
