Sample ID,Site,Aggregate,Addition,Replicate,Incubation,Location,Extracted (please put a date here),DNA loaction,DNA concentration,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN
1,O,Bulk,18O,1,Done,to be extracted box 1,TBD,TBD,,0.93105114,539.0903656,-0.942232625,,,,
1,O,A,18O,1,Done,to be extracted box 1,TBD,TBD,,146.1603282,305.4722578,-2.020373674,,,,
1,O,B ,18O,1,Done,to be extracted box 1,TBD,TBD,,-2.082614392,196.3399292,0.294262702,,,,
1,O,C,18O,1,Done,to be extracted box 1,TBD,TBD,,34.84581398,338.3900563,-4.43268652,,,,
1,O,D,18O,1,Done,to be extracted box 1,TBD,TBD,,4.620953816,150.5866458,-0.766858961,,,,
1,O,Bulk,18O,2,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,O,A,18O,2,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,O,B ,18O,2,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,O,C,18O,2,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,O,D,18O,2,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,O,Bulk,16O,1,Done,to be extracted box 1,TBD,TBD,,-4.839015793,984.1561983,-0.942232625,,,,
1,O,A,16O,1,Done,to be extracted box 1,TBD,TBD,,31.83949885,169.4406834,-0.234818183,,,,
1,O,B,16O,1,Done,to be extracted box 1,TBD,TBD,,16.52860787,334.7666419,-0.143061498,,,,
1,O,C,16O,1,Done,to be extracted box 1,TBD,TBD,,57.72027041,340.1710566,-0.109762701,,,,
1,O,D,16O,1,Done,to be extracted box 1,TBD,TBD,,1.401476979,96.84956785,-0.399832221,,,,
1,C,Bulk,18O,2,Done,to be extracted box 1,TBD,TBD,,0.372420456,127.8635385,-0.11864238,,,,
1,C,A,18O,2,Done,to be extracted box 1,TBD,TBD,,11.42007727,195.5415498,-0.849735967,,,,
1,C,B ,18O,2,Done,to be extracted box 1,TBD,TBD,,-5.243287999,129.276056,-0.16378075,,,,
1,C,C,18O,2,Done,to be extracted box 1,TBD,TBD,,2.945061764,179.8196161,0.699028078,,,,
1,C,D,18O,2,Done,to be extracted box 1,TBD,TBD,,5.201635711,212.3689319,-0.181540108,,,,
1,C,Bulk,18O,1,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,C,A,18O,1,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,C,B ,18O,1,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,C,C,18O,1,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,C,D,18O,1,Done,to be extracted box 1,TBD,TBD,,,,,,,,
1,C,Bulk,16O,1,Done,to be extracted box 1,TBD,TBD,,-1.575436534,147.700197,-0.143801471,,,,
1,C,A,16O,1,Done,to be extracted box 1,TBD,TBD,,-5.743115453,390.1618925,0.109269386,,,,
1,C,B,16O,1,Done,to be extracted box 1,TBD,TBD,,2.320277446,505.4970152,0.505895056,,,,
1,C,C,16O,1,Done,to be extracted box 1,TBD,TBD,,29.67112975,563.5944731,0.846282758,,,,
1,C,D,16O,1,Done,to be extracted box 1,TBD,TBD,,6.149837793,242.7687646,-0.698781421,,,,
2,O,Bulk,18O,1,Done,to be extracted box 2,TBD,TBD,,,,,,,,
2,O,A,18O,1,Done,to be extracted box 3,TBD,TBD,,,,,,,,
2,O,B ,18O,1,Done,to be extracted box 4,TBD,TBD,,,,,,,,
2,O,C,18O,1,Done,to be extracted box 5,TBD,TBD,,,,,,,,
2,O,D,18O,1,Done,to be extracted box 6,TBD,TBD,,,,,,,,
2,O,Bulk,18O,2,Done,to be extracted box 7,TBD,TBD,,,,,,,,
2,O,A,18O,2,Done,to be extracted box 8,TBD,TBD,,,,,,,,
2,O,B ,18O,2,Done,to be extracted box 9,TBD,TBD,,,,,,,,
2,O,C,18O,2,Done,to be extracted box 10,TBD,TBD,,,,,,,,
2,O,D,18O,2,Done,to be extracted box 11,TBD,TBD,,,,,,,,
2,O,Bulk,16O,1,Done,to be extracted box 12,TBD,TBD,,,,,,,,
2,O,A,16O,1,Done,to be extracted box 13,TBD,TBD,,,,,,,,
