Sample ID,Plot,Sub-Plot,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,<53 (g),>53 (g),>250 (g),>2000 (g),Proportion <53,Proportion >53,Proportion >250,Proportion >2000,Recovery (Aggregate),Proportion * mean diameter,Proportion * mean diameter,Proportion * mean diameter,Proportion * mean diameter,Mean weight Diameter (um)
N1,N8-6,1,0.859,134,1.276,,,,,,,,,,,,,,
N2,N8-6,1,,136,1.427,,,,,,,,,,,,,,
N3,N8-6,1,,,,,,,,,,,,,,,,,
N4,N8-6,2,0.859,138,1.217,,,,,,,,,,,,,,
N5,N8-6,2,,142,1.536,,,,,,,,,,,,,,
N6,N8-6,2,,,,,,,,,,,,,,,,,
N7,N8-6,3,0.86,133,1.359,,,,,,,,,,,,,,
N8,N8-6,3,,139,1.331,,,,,,,,,,,,,,
N9,N8-6,3,,,,,,,,,,,,,,,,,
C1,C7-8,1,0.855,250,1.421,81.71,29.39,42.03,28.94,0.448783435,0.161421431,0.230845279,0.158949854,0.91035,23.78552206,24.4553468,259.7009389,953.699124,1261.640932
C2,C7-8,1,,243,1.093,78.63,36.42,47.31,18.93,0.433724971,0.200893596,0.260963098,0.104418335,0.90645,22.98742346,30.43537979,293.5834853,626.51001,973.5162985
C3,C7-8,1,,,,66.79831,38.14,34.05,42.1,0.368871464,0.210615473,0.188029807,0.232483256,0.90544155,19.55018759,31.90824416,211.5335329,1394.899536,1657.891501
C4,C7-8,2,0.853,211,1.153,74.29,36.17,29.94,25.77,0.447072275,0.217668653,0.180176927,0.155082145,0.83085,23.69483058,32.97680093,202.6990429,930.49287,1189.863544
C5,C7-8,2,,240,1.243,74.08,21.46,57.01,24.89,0.417493237,0.12094229,0.321291704,0.140272768,0.8872,22.12714156,18.32275694,361.453167,841.636608,1243.539673
C6,C7-8,2,,,,63.41,24.79,47.17,34.27,0.373791559,0.146132988,0.27805942,0.202016034,0.8482,19.81095263,22.13914768,312.8168475,1212.096204,1566.863152
C7,C7-8,3,0.853,245,1.157,71.01,26.01,37.31,35.54,0.418025549,0.15311709,0.219638547,0.209218814,0.84935,22.1553541,23.19723914,247.0933654,1255.312884,1547.758843
C8,C7-8,3,,248,1.16,89.06,24.38,43.51,30.93,0.474025974,0.129763679,0.23158399,0.164626357,0.9394,25.12337662,19.65919737,260.5319888,987.758142,1293.072705
C9,C7-8,3,,,,90.73,26.62,35.72,21.16,0.520748436,0.152786547,0.205016358,0.12144866,0.87115,27.59966711,23.14716187,230.6434028,728.69196,1010.082192
O1,O8-8,1,0.844,144,1.233,57.76,46.73,35.79,49.72,0.304,0.245947368,0.188368421,0.261684211,0.95,16.112,37.26102625,211.9144736,1570.105266,1835.392766
O2,O8-8,1,,143,1.564,60.49,42.49,37.02,49.1,0.319883659,0.224695928,0.195769434,0.259650978,0.9455,16.95383393,34.04143309,220.2406133,1557.905868,1829.141748
O3,O8-8,1,,,,73.31,49.85,33.3,39.76,0.373611253,0.254051575,0.169707471,0.202629701,0.9811,19.80139641,38.48881361,190.9209049,1215.778206,1464.989321
O4,O8-8,2,0.84,139,1.28,44.64,29.5,36.83,70.69,0.245733788,0.16239128,0.202741385,0.389133546,0.9083,13.02389076,24.60227892,228.0840581,2334.801276,2600.511504
O5,O8-8,2,,148,1.553,65.92,43.83,34.97,36.01,0.364742987,0.242516461,0.193493056,0.199247496,0.90365,19.33137831,36.74124384,217.679688,1195.484976,1469.237286
O6,O8-8,2,,,,58.09,40.74,33.02,66.83,0.292379706,0.205053352,0.1661969,0.336370042,0.9934,15.49612442,31.06558283,186.9715125,2018.220252,2251.753472
O7,O8-8,3,0.841,155,1.543,50.92,41.57,28.17,38.52,0.319889433,0.261150898,0.176969469,0.2419902,0.7959,16.95413995,39.56436105,199.0906526,1451.9412,1707.550354
O8,O8-8,3,,151,1.445,67.8,47.87,26.42,56.56,0.341303801,0.240976592,0.132997735,0.284721873,0.99325,18.08910145,36.50795369,149.6224519,1708.331238,1912.550745
O9,O8-8,3,,,,70.08,43.49,34.67,49.91,0.353671461,0.219480192,0.174968458,0.251879889,0.99075,18.74458743,33.25124909,196.8395153,1511.279334,1760.114686
