ID,Fraction,Sample mass (mg),?13CVPDB (‰),Total C (µg),ug C per mg dry soil,C Comment (13C analysis),Rc,13C (%),13C (µg per mg dry),?15NAir (‰),Total N (µg),ug N per mg dry soil,Rn,15N (%),15N (µg per mg dry)
CA1,fPOM,60.56,,,,Contained too much carbon. Detectors saturated. No values can be estimated.,0.0112372,,,7.97,720.39,11.89547556,0.003705802,0.369211944,0.043919517
CA2,fPOM,88.13,-48.28,7167.11,81.32429366,"Mass 44 & 45 saturated, totals underestimated ",0.010694668,1.058150233,0.860533203,7.37,574.63,6.52025417,0.003703596,0.36899298,0.02405928
CA3,fPOM,76.19,-23.77,3975.51,52.17889487,,0.010970092,1.085105469,0.566196042,4.03,309.28,4.059325371,0.003691316,0.367774059,0.014929146
CA4,fPOM,75.82,-20.13,2369.62,31.25323134,,0.011010995,1.089107361,0.340381243,6.07,259.94,3.428383012,0.003698816,0.368518553,0.012634227
CA5,fPOM,99.09,-19.95,1937.05,19.54839035,,0.011013018,1.089305248,0.212941642,6.08,200.89,2.027348875,0.003698853,0.368522203,0.007471231
CA6,fPOM,86.2,-20.14,2482.04,28.79396752,,0.011010883,1.089096367,0.313594054,6.12,268.17,3.111020882,0.003699,0.3685368,0.011465257
CA7,fPOM,91.37,-18.68,3448.44,37.74149064,,0.011027289,1.09070143,0.411646978,5.8,308.53,3.37671008,0.003697824,0.368420018,0.012440476
CA8,fPOM,90.04,-19.92,2043.13,22.6913594,,0.011013355,1.089338229,0.247185653,6.15,212.85,2.363949356,0.00369911,0.368547749,0.008712282
CA9,fPOM,94.7,-20.54,3043.42,32.1374868,,0.011006388,1.088656614,0.349866876,5.99,333.94,3.526293559,0.003698522,0.368489357,0.012994016
CB1,fPOM,69.17,,,,Contained too much carbon. Detectors saturated. No values can be estimated.,0.0112372,,,3.08,438.59,6.340754662,0.003687824,0.367427355,0.023297667
CB2,fPOM,105.26,-15.25,5727.09,54.40898727,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.011065833,1.094472026,0.595491145,2.38,400.47,3.804579137,0.00368525,0.367171887,0.013969345
CB3,fPOM,73.05,-22.22,3975.51,54.42176591,,0.010987509,1.086809611,0.591460982,2.89,304.79,4.172347707,0.003687125,0.367358014,0.015327454
CB4,fPOM,91.04,-21.51,2724.5,29.92640598,,0.010995488,1.087590198,0.325476658,2.95,250.23,2.748572056,0.003687346,0.367379911,0.010097702
CB5,fPOM,105.97,-21.74,2741.11,25.86684911,,0.010992903,1.087337333,0.281259907,3.56,289.09,2.728036237,0.003689588,0.367602532,0.01002833
CB6,fPOM,70.28,-23.02,1641.97,23.36326124,,0.01097852,1.085930061,0.253708677,4.58,214.35,3.049943085,0.003693338,0.367974782,0.011223021
CB7,fPOM,93.483,-22.91,1723.36,18.43500957,,0.010979756,1.086051,0.200213606,4.6,224.81,2.404822267,0.003693412,0.367982081,0.008849315
CB8,fPOM,104.48,-21.8,4335.65,41.49741577,,0.010992229,1.087271368,0.45118952,2.85,364.59,3.489567381,0.003686978,0.367343415,0.012818696
CB9,fPOM,84.172,-22.57,4513.01,53.61652331,,0.010983576,1.08642481,0.582503211,2.79,375.8,4.464667585,0.003686757,0.367321518,0.016399685
C1,fPOM,74.761,-23.36,3206.42,42.88893942,,0.010974699,1.085556248,0.465583561,2.84,275.64,3.686949078,0.003686941,0.367339766,0.01354363
C2,fPOM,65.748,-23.84,2599.44,39.53641175,,0.010969305,1.085028506,0.428981338,4.52,302.55,4.601660887,0.003693118,0.367952885,0.016931944
C3,fPOM,69.27,-24.51,2383.71,34.41186661,,0.010961776,1.084291858,0.373125068,4.51,234.53,3.385736971,0.003693081,0.367949235,0.012457793
C4,fPOM,84.726,-22.89,3713.82,43.83329793,,0.01097998,1.086072989,0.476061609,3.46,345.9,4.082572056,0.003689221,0.367566037,0.015006148
C5,fPOM,64.025,-23.24,3581.59,55.940492,,0.010976047,1.085688182,0.607339311,2.66,351.88,5.495978134,0.003686279,0.367274074,0.020185303
C6,fPOM,88.05,-22.98,2923.03,33.19738785,,0.010978969,1.085974039,0.360515014,3.67,276.39,3.139011925,0.003689993,0.367642677,0.011540347
C7,fPOM,100.26,-23.4,1991.59,19.86425294,,0.01097425,1.085512269,0.215628903,4.75,258.45,2.577797726,0.003693963,0.368036823,0.009487245
C8,fPOM,69.51,-23.11,2148.71,30.91224284,,0.010977508,1.085831111,0.33565475,4.49,281.62,4.051503381,0.003693007,0.367941936,0.01490718
C9,fPOM,111.86,-23.12,1755.25,15.69148936,,0.010977396,1.085820116,0.170381348,4.53,231.54,2.069908815,0.003693155,0.367956534,0.007616365
CC1,fPOM,91.249,-22.79,4763.22,52.20024329,,0.010981104,1.086182933,0.566990134,2.54,428.87,4.699996712,0.003685838,0.36723028,0.017259811
CC2,fPOM,115.912,-9.65,5656.85,48.80297122,Contained more C than largest reference,0.011128761,1.100627482,0.537138913,2.15,563.42,4.860756436,0.003684404,0.367087947,0.017843251
CC3,fPOM,98.98,-22.11,3845.13,38.84754496,,0.010988746,1.086930548,0.422245833,2.48,357.86,3.615477874,0.003685618,0.367208382,0.013276338
CC4,fPOM,101.96,-21.92,3845.13,37.71214202,,0.010990881,1.087139438,0.409983569,2.68,345.9,3.392506865,0.003686353,0.367281373,0.012460046
CC5,fPOM,85.805,-22.29,3287.43,38.31280228,,0.010986723,1.086732651,0.416357732,2.89,299.56,3.491171843,0.003687125,0.367358014,0.0128251
CC6,fPOM,86.08,-22.34,3314.35,38.50313662,,0.010986161,1.086677679,0.418404991,2.61,298.81,3.471305762,0.003686096,0.367255826,0.012748573
CC7,fPOM,67.9,-22.45,2568.75,37.83136966,,0.010984925,1.086556742,0.411059298,2.75,232.29,3.421060383,0.00368661,0.36730692,0.012565792
CC8,fPOM,71.74,-22.41,3792.72,52.86757736,,0.010985374,1.086600719,0.574459476,2.81,381.78,5.321717313,0.003686831,0.367328817,0.019548201
CC9,fPOM,102.06,-7.46,5204.29,50.99245542,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.01115337,1.103034496,0.562464374,2.63,517.82,5.073682148,0.003686169,0.367263125,0.018633764
CD1,fPOM,101.25,-25.29,4738.37,46.79871605,,0.010953011,1.083434254,0.50703332,4.14,366.08,3.615604938,0.003691721,0.367814204,0.013298709
CD2,fPOM,106.51,-25.28,4588.46,43.08008638,,0.010953124,1.083445249,0.466749149,4.35,387.01,3.633555535,0.003692493,0.367890843,0.013367518
CD3,fPOM,65.47,-25.37,2821.25,43.092256,,0.010952112,1.083346293,0.466838358,4.37,238.27,3.639376814,0.003692566,0.367898142,0.0133892
CD4,fPOM,91.22,-25.9,4487.78,49.19732515,,0.010946157,1.082763553,0.532690706,4.48,353.38,3.873931155,0.003692971,0.367938287,0.014253676
CD5,fPOM,89.12,-25.28,3818.94,42.85166068,,0.010953124,1.083445249,0.464274282,3.65,313.76,3.52064632,0.003689919,0.367635378,0.012943141
CD6,fPOM,72.91,-25.8,3608.11,49.48717597,,0.01094728,1.082873504,0.535883517,4.49,286.11,3.924153065,0.003693007,0.367941936,0.014438605
CD7,fPOM,97.74,-26.01,4688.55,47.96961326,,0.01094492,1.082642606,0.519339471,4.14,348.89,3.569572335,0.003691721,0.367814204,0.013129394
CD8,fPOM,99.7,-25.94,4638.58,46.52537613,,0.010945707,1.082719572,0.503739353,4.75,376.55,3.776830491,0.003693963,0.368036823,0.013900127
CD9,fPOM,84.6,-26.26,4130.74,48.82671395,,0.010942111,1.082367725,0.528484593,4.26,313.01,3.699881797,0.003692162,0.367857998,0.013610311
OA1,fPOM,74.27,-3.43,5180.1,69.74686953,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.011198656,1.107463537,0.772421148,8.76,506.61,6.821192945,0.003708706,0.369500246,0.025204325
OA2,fPOM,65.49,-9.95,5539.05,84.57856161,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.01112539,1.100297745,0.930616006,7.71,602.29,9.196671248,0.003704846,0.36911706,0.033946482
OA3,fPOM,68.83,-35.27,6565.96,95.39386895,"Mass 44 & 45 saturated, totals underestimated ",0.010840864,1.072460003,1.023061089,8.57,642.65,9.336771757,0.003708008,0.369430908,0.034492921
