Site,subplot,rep,Aggregatefraction,g dry per g wet (100% water holding capacity),dry soil in 2 g,Water in 2 g at 100% water holding capacity,Desired water in 2 g,Desired soil + water,Desired moisture,averages,,Date,ID,Wet + boat,Dry + boat,water in 2 g soil,g dry/g wet,,soil (wet),dry soil in container,current water,wet mass,water to add,Final mass,Water to add(18O or 16O)- micro g,
C,1,1,A,0.673,1.346,0.654,0.3924,1.7384,0.4038,0.39465,,20-May,O,11.05,10.72,0.33,0.835,54.95,46.55,38.86925,7.68075,120.9749455,74.42494553,129.3749455,33,O
C,2,4,A,0.654,1.308,0.692,0.4152,1.7232,0.3924,,,20-May,OA,11.02,10.48,0.54,0.73,87.69,79.29,57.8817,21.4083,145.1214742,65.83147424,153.5214742,54,OA
C,3,7,A,0.666,1.332,0.668,0.4008,1.7328,0.3996,,,20-May,OB,11.05,10.45,0.6,0.7,38.92,30.52,21.364,9.156,54.17522505,23.65522505,62.57522505,60,OB
C,1,3,A,0.638,1.276,0.724,0.4344,1.7104,0.3828,,,20-May,OC,10.99,10.47,0.52,0.74,42.36,33.96,25.1304,8.8296,59.68507303,25.72507303,68.08507303,52,OC
C,1,1,B,0.804,1.608,0.392,0.2352,1.8432,0.4824,0.39435,,20-May,OD,11.04,10.46,0.58,0.71,39.98,31.58,22.4218,9.1582,42.40529551,10.82529551,50.80529551,58,OD
C,2,4,B,0.619,1.238,0.762,0.4572,1.6952,0.3714,,,20-May,C,11.01,10.7,0.31,0.845,38.53,30.13,25.45985,4.67015,100.2553652,70.12536523,108.6553652,31,C
C,3,7,B,0.477,0.954,1.046,0.6276,1.5816,0.2862,,,20-May,CA,11,10.33,0.67,0.665,31.73,23.33,15.51445,7.81555,39.31192196,15.98192196,47.71192196,67,CA
C,1,3,B,0.729,1.458,0.542,0.3252,1.7832,0.4374,,,20-May,CB,11.06,10.45,0.61,0.695,95.89,87.49,60.80555,26.68445,154.1918347,66.70183466,162.5918347,61,CB
C,1,0,Bulk,0.395,0.79,1.21,0.726,1.516,0.237,0.25395,,20-May,CC,10.96,10.45,0.51,0.745,31.8,23.4,17.433,5.967,45.22178988,21.82178988,53.62178988,51,CC
C,2,0,Bulk,0.452,0.904,1.096,0.6576,1.5616,0.2712,,,20-May,CD,11,10.48,0.52,0.74,44.41,36.01,26.6474,9.3626,49.27859454,13.26859454,57.67859454,52,CD
C,3,0,Bulk,0.476,0.952,1.048,0.6288,1.5808,0.2856,,,,,,,,,,,,,,,,,
C,1,0,Bulk,0.37,0.74,1.26,0.756,1.496,0.222,,,,,,,,,,,,,,,,,
C,1,1,C,0.571,1.142,0.858,0.5148,1.6568,0.3426,0.3855,,,,,,,,,,,,,,,,
C,2,4,C,0.722,1.444,0.556,0.3336,1.7776,0.4332,,,,,,,,,,,,,,,,,
C,3,7,C,0.666,1.332,0.668,0.4008,1.7328,0.3996,,,,,,,,,,,,,,,,,
C,1,3,C,0.611,1.222,0.778,0.4668,1.6888,0.3666,,,,,,,,,,,,,,,,,
C,1,1,D,0.95,1.9,0.1,0.06,1.96,0.57,0.54075,,,,,,,,,,,,,,,,
C,2,4,D,0.861,1.722,0.278,0.1668,1.8888,0.5166,,,,,,,,,,,,,,,,,
C,3,7,D,0.896,1.792,0.208,0.1248,1.9168,0.5376,,,,,,,,,,,,,,,,,
C,1,3,D,0.898,1.796,0.204,0.1224,1.9184,0.5388,,,,,,,,,,,,,,,,,
O,1,1,A,0.653,1.306,0.694,0.4164,1.7224,0.3918,0.39885,,,,,,,,,,,,,,,,
O,2,4,A,0.7,1.4,0.6,0.36,1.76,0.42,,,,,,,,,,,,,,,,,
O,3,7,A,0.656,1.312,0.688,0.4128,1.7248,0.3936,,,,,,,,,,,,,,,,,
O,3,9,A,0.65,1.3,0.7,0.42,1.72,0.39,,,,,,,,,,,,,,,,,
O,1,1,B,0.684,1.368,0.632,0.3792,1.7472,0.4104,0.39435,,,,,,,,,,,,,,,,
O,2,4,B,0.595,1.19,0.81,0.486,1.676,0.357,,,,,,,,,,,,,,,,,
O,3,7,B,0.611,1.222,0.778,0.4668,1.6888,0.3666,,,,,,,,,,,,,,,,,
O,3,9,B,0.739,1.478,0.522,0.3132,1.7912,0.4434,,,,,,,,,,,,,,,,,
O,1,0,Bulk,0.527,1.054,0.946,0.5676,1.6216,0.3162,0.3213,,,,,,,,,,,,,,,,
O,2,0,Bulk,0.51,1.02,0.98,0.588,1.608,0.306,,,,,,,,,,,,,,,,,
O,3,0,Bulk,0.581,1.162,0.838,0.5028,1.6648,0.3486,,,,,,,,,,,,,,,,,
O,3,0,Bulk,0.524,1.048,0.952,0.5712,1.6192,0.3144,,,,,,,,,,,,,,,,,
O,1,1,C,0.635,1.27,0.73,0.438,1.708,0.381,0.42105,,,,,,,,,,,,,,,,
O,2,4,C,0.692,1.384,0.616,0.3696,1.7536,0.4152,,,,,,,,,,,,,,,,,
O,3,7,C,0.757,1.514,0.486,0.2916,1.8056,0.4542,,,,,,,,,,,,,,,,,
O,3,9,C,0.723,1.446,0.554,0.3324,1.7784,0.4338,,,,,,,,,,,,,,,,,
O,1,1,D,0.907,1.814,0.186,0.1116,1.9256,0.5442,0.52875,,,,,,,,,,,,,,,,
O,2,4,D,0.874,1.748,0.252,0.1512,1.8992,0.5244,,,,,,,,,,,,,,,,,
O,3,7,D,0.863,1.726,0.274,0.1644,1.8904,0.5178,,,,,,,,,,,,,,,,,
O,3,9,D,0.881,1.762,0.238,0.1428,1.9048,0.5286,,,,,,,,,,,,,,,,,
