Sample	MAG_ID	Completeness	Contamination
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
C3	C3.001	78.45	2.86
